id,period,fuel,base_price,bog_contrib,bog_use,taxes
1,2026-01-29,RON95,18845,0.0,0.0,{}
2,2026-01-29,E5RON92,18339,0.0,0.0,{}
3,2026-01-29,DO005S,18173,0.0,0.0,{}
4,2026-03-07,RON95,27047,0.0,0.0,{}
5,2026-03-07,E5RON92,25226,0.0,0.0,{}
6,2026-03-07,DO005S,30239,0.0,0.0,{}
7,2026-04-09,RON95,23543,0.0,0.0,{}
8,2026-04-09,E5RON92,22344,0.0,0.0,{}
9,2026-04-09,DO005S,32969,0.0,0.0,{}
10,2026-04-23,RON95,22880,0.0,0.0,{}
11,2026-04-23,E5RON92,21834,0.0,0.0,{}
12,2026-04-23,DO005S,26697,0.0,0.0,{}
13,2026-05-14,RON95,24078,0.0,0.0,{}
14,2026-05-14,E5RON92,23134,0.0,0.0,{}
15,2026-05-14,DO005S,27226,0.0,0.0,{}
16,2026-06-04,E5RON92,21784,0.0,0.0,{}
17,2026-06-04,DO005S,26866,0.0,0.0,{}
18,2026-07-09,E5RON92,19191,0.0,0.0,{}
19,2026-07-09,DO005S,21745,0.0,0.0,{}
26,2026-03-26,RON95,24332,0.0,0.0,{}
27,2026-03-26,E5RON92,23326,0.0,0.0,{}
28,2026-03-26,DO005S,35440,0.0,0.0,{}
40,2026-07-09,RON95,20003,0.0,0.0,{}
66,2026-05-28,RON95,24154,0.0,0.0,{}
67,2026-05-28,E5RON92,23258,0.0,0.0,{}
68,2026-05-28,DO005S,27651,0.0,0.0,{}
73,2026-06-25,RON95,19916,0.0,0.0,{}
74,2026-06-25,E5RON92,19359,0.0,0.0,{}
75,2026-06-25,DO005S,21866,0.0,0.0,{}
76,2026-07-02,RON95,20415,0.0,0.0,{}
77,2026-07-02,E5RON92,19730,0.0,0.0,{}
78,2026-07-02,DO005S,21176,0.0,0.0,{}
86,2025-12-11,RON95,20082,0.0,0.0,{}
87,2025-12-11,E5RON92,19615,0.0,0.0,{}
88,2025-12-11,DO005S,18154,0.0,0.0,{}
93,2025-05-29,RON95,19565,0.0,0.0,{}
94,2025-05-29,E5RON92,19196,0.0,0.0,{}
95,2025-05-29,DO005S,17136,0.0,0.0,{}
96,2025-06-19,RON95,21244,0.0,0.0,{}
97,2025-06-19,E5RON92,20631,0.0,0.0,{}
98,2025-06-19,DO005S,19156,0.0,0.0,{}
99,2025-07-10,RON95,20090,0.0,0.0,{}
100,2025-07-10,E5RON92,19659,0.0,0.0,{}
101,2025-07-10,DO005S,18837,0.0,0.0,{}
102,2025-07-24,RON95,19709,0.0,0.0,{}
103,2025-07-24,E5RON92,19279,0.0,0.0,{}
104,2025-07-24,DO005S,19129,0.0,0.0,{}
105,2025-08-21,RON95,20092,0.0,0.0,{}
106,2025-08-21,E5RON92,19464,0.0,0.0,{}
107,2025-08-21,DO005S,17905,0.0,0.0,{}
108,2025-09-18,RON95,20608,0.0,0.0,{}
109,2025-09-18,E5RON92,19986,0.0,0.0,{}
110,2025-09-18,DO005S,18705,0.0,0.0,{}
111,2025-10-16,RON95,19903,0.0,0.0,{}
112,2025-10-16,E5RON92,19226,0.0,0.0,{}
113,2025-10-16,DO005S,18423,0.0,0.0,{}
114,2025-10-30,RON95,20488,0.0,0.0,{}
115,2025-10-30,E5RON92,19760,0.0,0.0,{}
116,2025-10-30,DO005S,19203,0.0,0.0,{}
117,2025-11-13,RON95,20576,0.0,0.0,{}
118,2025-11-13,E5RON92,19844,0.0,0.0,{}
119,2025-11-13,DO005S,19864,0.0,0.0,{}
120,2025-11-27,RON95,20009,0.0,0.0,{}
121,2025-11-27,E5RON92,19288,0.0,0.0,{}
122,2025-11-27,DO005S,18800,0.0,0.0,{}
131,2024-03-14,RON95,23543,0.0,0.0,{}
132,2024-03-14,E5RON92,22490,0.0,0.0,{}
133,2024-03-14,DO005S,20549,0.0,0.0,{}
169,2026-08-13,RON95,22119,0.0,0.0,{}
170,2026-08-13,E5RON92,21235,0.0,0.0,{}
171,2026-08-13,DO005S,27233,0.0,0.0,{}
172,2026-08-27,RON95,22602,0.0,0.0,{}
173,2026-08-27,E5RON92,21763,0.0,0.0,{}
174,2026-08-27,DO005S,28084,0.0,0.0,{}
