date,type,factor,buy_old,buy_new,sell
2015-09-19,Ngọc Hải (NHJ) Tiền Giang,10.0,3415000.0,34150000.0,34280000.0
2015-10-28,Ngọc Hải (NHJ) Tiền Giang,0.1,337800000.0,33780000.0,33900000.0
2016-03-26,Ngọc Hải (NHJ) Tiền Giang,10.0,3325000.0,33250000.0,33380000.0
2016-07-13,Phú Qúy SJC,0.1,364000000.0,36400000.0,36700000.0
2016-09-21,VIETNAMGOLD,0.1,361200000.0,36120000.0,36180000.0
2016-10-06,SHB,0.1,353300000.0,35330000.0,35430000.0
2016-10-12,VIETNAMGOLD,0.1,355300000.0,35530000.0,35610000.0
2016-10-19,Ngọc Hải (NHJ) Tiền Giang,0.1,354700000.0,35470000.0,35660000.0
2016-11-09,TPBANK GOLD,0.1,362500000.0,36250000.0,36750000.0
2016-11-18,Phú Qúy SJC,0.1,356000000.0,35600000.0,35750000.0
2016-11-19,Phú Qúy SJC,0.1,356000000.0,35600000.0,35750000.0
2016-11-20,Phú Qúy SJC,0.1,356000000.0,35600000.0,35750000.0
2016-11-21,Phú Qúy SJC,0.1,357000000.0,35700000.0,35750000.0
2016-11-23,Phú Qúy SJC,0.1,357300000.0,35730000.0,35750000.0
2016-11-24,Phú Qúy SJC,0.1,354000000.0,35400000.0,35750000.0
2016-12-22,Phú Qúy SJC,10.0,3615000.0,36150000.0,36550000.0
2017-01-07,MARITIME BANK,0.1,363400000.0,36340000.0,36460000.0
2017-01-09,SCB,0.1,364200000.0,36420000.0,36660000.0
2017-01-12,PNJ TP.HCM,0.1,363500000.0,36350000.0,36620000.0
2017-01-23,Ngọc Hải (NHJ) Tiền Giang,0.1,364000000.0,36400000.0,36850000.0
2017-08-30,PNJ TP.HCM,0.1,366600000.0,36660000.0,36720000.0
2017-09-04,PNJ TP.HCM,10.0,3660000.0,36600000.0,36850000.0
2017-09-29,TPBANK GOLD,10.0,3644000.0,36440000.0,36500000.0
2017-10-07,SCB,0.1,364800000.0,36480000.0,36530000.0
2020-02-21,Phú Qúy SJC,10.0,4490000.0,44900000.0,45200000.0
2020-03-04,BTMC SJC,0.1,469500000.0,46950000.0,47450000.0
2020-03-06,BTMC SJC,0.1,464500000.0,46450000.0,47000000.0
2020-03-10,DOJI SG,10.0,4700000.0,47000000.0,47800000.0
2021-09-10,MARITIME BANK,10.0,5620000.0,56200000.0,57240000.0
