date,raw_sell,factor,gold_price,buy_usd
2015-01-12,122624000.0,100000.0,1226.24,1225.64
2015-01-13,122624000.0,100000.0,1226.24,1225.64
2015-01-14,122624000.0,100000.0,1226.24,1225.64
2015-01-15,122897000.0,100000.0,1228.97,1228.37
2015-01-16,126161000.0,100000.0,1261.61,1261.01
2015-01-19,127697000.0,100000.0,1276.97,1276.37
2015-01-20,127688000.0,100000.0,1276.88,1276.28
2015-01-21,129396000.0,100000.0,1293.96,1293.36
2015-01-22,129279000.0,100000.0,1292.79,1292.19
2015-01-23,130045000.0,100000.0,1300.45,1299.85
2015-01-26,129471000.0,100000.0,1294.71,1294.11
2015-01-27,127705000.0,100000.0,1277.05,1276.45
2015-01-28,129057000.0,100000.0,1290.57,1289.97
2015-01-29,127927000.0,100000.0,1279.27,1278.67
2015-01-30,125983000.0,100000.0,1259.83,1259.23
2015-02-02,128058000.0,100000.0,1280.58,1279.98
2015-02-03,127509000.0,100000.0,1275.09,1274.49
2015-02-04,126123000.0,100000.0,1261.23,1260.63
2015-02-05,127238000.0,100000.0,1272.38,1271.78
2015-02-06,126415000.0,100000.0,1264.15,1263.55
2015-02-09,123916000.0,100000.0,1239.16,1238.66
2015-02-10,124182000.0,100000.0,1241.82,1241.32
2015-02-11,123685000.0,100000.0,1236.85,1236.35
2015-02-12,122318000.0,100000.0,1223.18,1222.68
2015-02-13,122546000.0,100000.0,1225.46,1224.96
2015-02-24,120357000.0,100000.0,1203.57,1203.07
2015-02-25,12097000.0,10000.0,1209.7,12092.0
2015-02-26,120593000.0,100000.0,1205.93,1205.43
2015-02-27,12101000.0,10000.0,1210.1,12096.0
2015-02-28,12114000.0,10000.0,1211.4,12109.0
2015-03-02,121577000.0,100000.0,1215.77,1215.27
2015-03-03,120587000.0,100000.0,1205.87,1205.37
2015-03-04,120682000.0,100000.0,1206.82,1206.32
2015-03-05,120332000.0,100000.0,1203.32,1202.82
2015-03-06,119892000.0,100000.0,1198.92,1198.42
2015-03-09,116984000.0,100000.0,1169.84,1169.34
2015-03-10,116698000.0,100000.0,1166.98,1166.48
2015-03-11,116477000.0,100000.0,1164.77,1164.27
2015-03-12,11523000.0,10000.0,1152.3,11518.0
2015-03-16,115545000.0,100000.0,1155.45,1154.95
2015-03-17,115314000.0,100000.0,1153.14,1152.64
2015-03-18,115272000.0,100000.0,1152.72,1152.22
2015-03-19,1174000.0,1000.0,1174.0,117350.0
2015-03-20,117329000.0,100000.0,1173.29,1172.79
2015-03-21,118272000.0,100000.0,1182.72,1182.22
2015-03-23,118453000.0,100000.0,1184.53,1184.03
2015-03-24,1188000.0,1000.0,1188.0,118750.0
2015-03-25,118945000.0,100000.0,1189.45,1188.95
2015-03-26,119736000.0,100000.0,1197.36,1196.86
2015-03-27,120453000.0,100000.0,1204.53,1204.03
2015-03-28,119885000.0,100000.0,1198.85,1198.35
2015-03-30,119674000.0,100000.0,1196.74,1196.24
2015-03-31,118552000.0,100000.0,1185.52,1185.02
2015-04-01,118658000.0,100000.0,1186.58,1186.08
2015-04-02,120227000.0,100000.0,1202.27,1201.77
2015-04-03,120215000.0,100000.0,1202.15,1201.65
2015-04-04,120215000.0,100000.0,1202.15,1201.65
2015-04-06,121705000.0,100000.0,1217.05,1216.55
2015-04-07,121359000.0,100000.0,1213.59,1213.09
2015-04-08,121011000.0,100000.0,1210.11,1209.61
2015-04-09,119812000.0,100000.0,1198.12,1197.62
2015-04-10,11948000.0,10000.0,1194.8,11943.0
2015-04-11,120881000.0,100000.0,1208.81,1208.31
2015-04-13,120894000.0,100000.0,1208.94,1208.44
2015-04-14,120072000.0,100000.0,1200.72,1200.22
2015-04-15,119496000.0,100000.0,1194.96,1194.46
2015-04-16,120677000.0,100000.0,1206.77,1206.27
2015-04-17,119874000.0,100000.0,1198.74,1198.24
2015-04-20,120551000.0,100000.0,1205.51,1205.01
2015-04-21,119458000.0,100000.0,1194.58,1194.08
2015-04-22,120101000.0,100000.0,1201.01,1200.51
2015-04-23,118746000.0,100000.0,1187.46,1186.96
2015-04-24,119328000.0,100000.0,1193.28,1192.78
2015-04-25,117871000.0,100000.0,1178.71,1178.21
2015-04-27,118019000.0,100000.0,1180.19,1179.69
2015-05-03,117869000.0,100000.0,1178.69,1178.19
2015-05-04,118275000.0,100000.0,1182.75,1182.25
2015-05-05,118847000.0,100000.0,1188.47,1187.97
2015-05-06,119481000.0,100000.0,1194.81,1194.31
2015-05-07,118982000.0,100000.0,1189.82,1189.32
2015-05-08,11827000.0,10000.0,1182.7,11822.0
2015-05-09,118879000.0,100000.0,1188.79,1188.29
2015-05-11,118954000.0,100000.0,1189.54,1189.04
2015-05-12,118428000.0,100000.0,1184.28,1183.78
2015-05-13,119195000.0,100000.0,1191.95,1191.45
2015-05-14,12132000.0,10000.0,1213.2,12127.0
2015-05-15,12206000.0,10000.0,1220.6,12201.0
2015-05-16,122536000.0,100000.0,1225.36,1224.86
2015-05-19,12245000.0,10000.0,1224.5,12240.0
2015-05-20,120931000.0,100000.0,1209.31,1208.81
2015-05-21,121128000.0,100000.0,1211.28,1210.78
2015-05-22,120621000.0,100000.0,1206.21,1205.71
2015-05-23,120565000.0,100000.0,1205.65,1205.15
2015-05-25,120354000.0,100000.0,1203.54,1203.04
2015-05-26,120525000.0,100000.0,1205.25,1204.75
2015-05-27,118779000.0,100000.0,1187.79,1187.29
2015-05-28,118767000.0,100000.0,1187.67,1187.17
2015-05-29,118968000.0,100000.0,1189.68,1189.18
2015-05-31,119004000.0,100000.0,1190.04,1189.54
2015-06-01,119057000.0,100000.0,1190.57,1190.07
2015-06-02,118842000.0,100000.0,1188.42,1187.92
2015-06-03,119388000.0,100000.0,1193.88,1193.38
2015-06-04,118608000.0,100000.0,1186.08,1185.58
2015-06-05,117788000.0,100000.0,1177.88,1177.38
2015-06-06,117117000.0,100000.0,1171.17,1170.67
2015-06-07,117117000.0,100000.0,1171.17,1170.67
2015-06-08,117663000.0,100000.0,1176.63,1176.13
2015-06-09,117459000.0,100000.0,1174.59,1174.09
2015-06-10,117803000.0,100000.0,1178.03,1177.53
2015-06-11,118622000.0,100000.0,1186.22,1185.72
2015-06-12,118258000.0,100000.0,1182.58,1182.08
2015-06-13,11814000.0,10000.0,1181.4,11809.0
2015-06-15,118153000.0,100000.0,1181.53,1181.03
2015-06-16,118641000.0,100000.0,1186.41,1185.91
2015-06-17,118138000.0,100000.0,1181.38,1180.88
2015-06-18,118593000.0,100000.0,1185.93,1185.43
2015-06-19,120101000.0,100000.0,1201.01,1200.51
2015-06-20,120111000.0,100000.0,1201.11,1200.61
2015-06-21,120111000.0,100000.0,1201.11,1200.61
2015-06-22,119406000.0,100000.0,1194.06,1193.56
2015-06-23,118746000.0,100000.0,1187.46,1186.96
2015-06-24,117896000.0,100000.0,1178.96,1178.46
2015-06-25,117595000.0,100000.0,1175.95,1175.45
2015-06-26,117462000.0,100000.0,1174.62,1174.12
2015-06-28,117445000.0,100000.0,1174.45,1173.95
2015-06-29,117445000.0,100000.0,1174.45,1173.95
2015-06-30,118066000.0,100000.0,1180.66,1180.16
2015-07-01,117457000.0,100000.0,1174.57,1174.07
2015-07-02,116845000.0,100000.0,1168.45,1167.95
2015-07-03,116688000.0,100000.0,1166.88,1166.38
2015-07-04,116912000.0,100000.0,1169.12,1168.62
2015-07-05,116912000.0,100000.0,1169.12,1168.62
2015-07-06,117207000.0,100000.0,1172.07,1171.57
2015-07-07,116909000.0,100000.0,1169.09,1168.59
2015-07-08,115535000.0,100000.0,1155.35,1154.85
2015-07-09,115749000.0,100000.0,1157.49,1156.99
2015-07-10,116001000.0,100000.0,1160.01,1159.51
2015-07-11,116318000.0,100000.0,1163.18,1162.68
2015-07-13,116276000.0,100000.0,1162.76,1162.26
2015-07-14,115641000.0,100000.0,1156.41,1155.91
2015-07-15,115635000.0,100000.0,1156.35,1155.85
2015-07-16,11487000.0,10000.0,1148.7,11482.0
2015-07-17,114453000.0,100000.0,1144.53,1144.03
2015-07-18,113417000.0,100000.0,1134.17,1133.67
2015-07-19,113417000.0,100000.0,1134.17,1133.67
2015-07-20,113257000.0,100000.0,1132.57,1132.07
2015-07-21,110123000.0,100000.0,1101.23,1100.73
2015-07-22,110124000.0,100000.0,1101.24,1100.74
2015-07-23,109602000.0,100000.0,1096.02,1095.52
2015-07-24,109026000.0,100000.0,1090.26,1089.76
2015-07-25,109602000.0,100000.0,1096.02,1095.52
2015-07-26,109904000.0,100000.0,1099.04,1098.54
2015-07-27,10965000.0,10000.0,1096.5,10960.0
2015-07-28,109426000.0,100000.0,1094.26,1093.76
2015-07-29,109577000.0,100000.0,1095.77,1095.27
2015-07-30,109822000.0,100000.0,1098.22,1097.72
2015-07-31,108907000.0,100000.0,1089.07,1088.57
2015-08-01,10954000.0,10000.0,1095.4,10949.0
2015-08-02,10954000.0,10000.0,1095.4,10949.0
2015-08-03,109336000.0,100000.0,1093.36,1092.86
2015-08-04,108406000.0,100000.0,1084.06,1083.56
2015-08-05,108687000.0,100000.0,1086.87,1086.37
2015-08-06,108428000.0,100000.0,1084.28,1083.78
2015-08-07,109022000.0,100000.0,1090.22,1089.72
2015-08-08,109244000.0,100000.0,1092.44,1091.94
2015-08-09,109244000.0,100000.0,1092.44,1091.94
2015-08-10,109117000.0,100000.0,1091.17,1090.67
2015-08-11,110561000.0,100000.0,1105.61,1105.11
2015-08-12,110972000.0,100000.0,1109.72,1109.22
2015-08-13,112439000.0,100000.0,1124.39,1123.89
2015-08-14,111475000.0,100000.0,1114.75,1114.25
2015-08-15,111475000.0,100000.0,1114.75,1114.25
2015-08-16,111475000.0,100000.0,1114.75,1114.25
2015-08-17,111475000.0,100000.0,1114.75,1114.25
2015-08-18,111475000.0,100000.0,1114.75,1114.25
2015-08-19,111475000.0,100000.0,1114.75,1114.25
2015-08-20,11348000.0,10000.0,1134.8,11343.0
2015-08-21,115933000.0,100000.0,1159.33,1158.83
2015-08-22,115992000.0,100000.0,1159.92,1159.42
2015-08-24,115969000.0,100000.0,1159.69,1159.19
2015-08-25,11555000.0,10000.0,1155.5,11550.0
2015-08-26,114198000.0,100000.0,1141.98,1141.48
2015-08-27,112497000.0,100000.0,1124.97,1124.47
2015-08-28,112838000.0,100000.0,1128.38,1127.88
2015-08-29,113474000.0,100000.0,1134.74,1134.24
2015-08-30,113474000.0,100000.0,1134.74,1134.24
2015-08-31,113285000.0,100000.0,1132.85,1132.35
2015-09-01,113894000.0,100000.0,1138.94,1138.43
2015-09-02,113921000.0,100000.0,1139.21,1138.71
2015-09-03,113299000.0,100000.0,1132.99,1132.49
2015-09-04,112419000.0,100000.0,1124.19,1123.69
2015-09-05,112245000.0,100000.0,1122.45,1121.95
2015-09-07,112209000.0,100000.0,1122.09,1121.59
2015-09-08,112094000.0,100000.0,1120.94,1120.44
2015-09-09,112367000.0,100000.0,1123.67,1123.17
2015-09-10,110552000.0,100000.0,1105.52,1105.07
2015-09-11,111211000.0,100000.0,1112.11,1111.66
2015-09-12,110801000.0,100000.0,1108.01,1107.56
2015-09-14,110653000.0,100000.0,1106.53,1106.08
2015-09-15,110869000.0,100000.0,1108.69,1108.24
2015-09-16,110474000.0,100000.0,1104.74,1104.29
2015-09-17,112097000.0,100000.0,1120.97,1120.52
2015-09-18,113192000.0,100000.0,1131.92,1131.47
2015-09-19,113886000.0,100000.0,1138.86,1138.41
2015-09-21,113858000.0,100000.0,1138.58,1138.13
2015-09-22,113483000.0,100000.0,1134.83,1134.38
